species,turbidity,depth
4,63,Medium
4,27,Medium
2,20,Medium
3,16,Medium
3,2,Medium
13,71,Medium
11,63,Medium
7,3,Medium
10,51,Medium
9,49,Deep
4,31,Deep
5,22,Medium
5,73,Medium
6,77,Shallow
1,10,Deep
0,89,Medium
1,34,Medium
0,35,Medium
5,77,Shallow
24,4,Medium
2,21,Medium
0,61,Medium
1,41,Medium
0,63,Medium
8,19,Medium
6,55,Shallow
7,6,Medium
0,21,Medium
2,70,Medium
3,79,Shallow
0,1,Medium
1,29,Medium
3,40,Medium
0,39,Medium
0,68,Medium
28,20,Medium
8,10,Medium
5,84,Medium
5,1,Shallow
27,35,Medium
5,32,Medium
18,34,Medium
19,40,Medium
9,29,Medium
9,20,Medium
4,27,Medium
2,74,Medium
3,38,Medium
9,21,Medium
20,81,Medium
6,16,Medium
0,59,Medium
27,48,Medium
12,55,Medium
34,4,Medium
1,57,Medium
28,5,Shallow
8,3,Shallow
3,23,Medium
2,35,Medium
1,33,Medium
7,27,Medium
4,13,Medium
8,46,Medium
6,30,Medium
16,32,Medium
6,26,Shallow
4,14,Medium
3,31,Deep
5,48,Medium
0,72,Medium
9,79,Medium
0,15,Deep
8,24,Medium
0,55,Deep
14,13,Shallow
4,34,Medium
2,67,Medium
35,1,Medium
23,21,Medium
13,33,Medium
6,78,Medium
3,84,Shallow
6,59,Medium
0,75,Medium
11,22,Shallow
11,49,Medium
11,13,Medium
4,84,Deep
6,27,Medium
23,27,Medium
5,70,Medium
5,96,Medium
29,70,Shallow
7,10,Medium
1,14,Medium
9,20,Medium
11,11,Medium
18,42,Medium
12,2,Medium
6,24,Shallow
0,37,Medium
4,13,Medium
10,3,Medium
19,70,Shallow
1,27,Medium
12,1,Shallow
3,61,Medium
0,44,Medium
9,35,Medium
14,78,Medium
7,3,Medium
3,21,Medium
10,26,Medium
12,44,Medium
6,47,Medium
35,35,Medium
16,8,Shallow
3,87,Medium
10,3,Medium
6,6,Medium
3,89,Shallow
2,13,Medium
6,84,Medium
5,90,Medium
13,71,Medium
7,15,Shallow
5,41,Medium
3,63,Medium
30,34,Medium
16,45,Medium
15,29,Medium
12,3,Medium
1,35,Medium
4,32,Shallow
7,22,Medium
1,81,Medium
10,73,Medium
3,69,Medium
30,27,Shallow
2,13,Medium
13,76,Medium
5,7,Shallow
5,59,Medium
5,29,Medium
4,57,Medium
3,44,Medium
20,53,Medium
12,23,Medium
34,29,Shallow
6,40,Medium
14,49,Medium
16,38,Shallow
9,31,Shallow
15,21,Shallow
15,8,Shallow
0,37,Medium
1,53,Medium
4,31,Deep
0,57,Deep
0,57,Deep
2,59,Deep
1,29,Deep
2,41,Medium
0,71,Deep
0,59,Deep
0,71,Deep
7,70,Deep
2,77,Deep
9,70,Medium
6,87,Deep
4,59,Deep
1,65,Deep
7,28,Medium
0,77,Deep
0,65,Deep
4,73,Deep
2,99,Medium
0,57,Deep
4,77,Deep
2,57,Medium
21,47,Shallow
1,24,Deep
0,84,Deep
1,73,Deep
16,81,Deep
9,52,Shallow
16,75,Deep
0,65,Medium
11,44,Shallow
1,44,Deep
2,79,Deep
3,20,Deep
4,16,Medium
2,99,Medium
7,71,Shallow
7,46,Deep
0,57,Medium
1,67,Medium
1,87,Deep
0,70,Deep
13,21,Deep
1,31,Deep
0,63,Deep
1,44,Medium
0,34,Deep
4,77,Shallow
0,94,Deep
4,41,Shallow
0,67,Deep
2,61,Deep
0,82,Deep
4,63,Shallow
0,63,Deep
4,77,Deep
3,46,Deep
1,8,Deep
0,61,Medium
1,71,Medium
4,65,Deep
1,41,Medium
9,16,Medium
0,22,Deep
4,57,Medium
8,51,Medium
13,74,Medium
0,41,Deep
0,87,Deep
0,67,Deep
0,99,Medium
2,63,Medium
5,65,Deep
1,71,Deep
0,77,Deep
3,67,Shallow
1,79,Medium
2,20,Deep
4,84,Shallow
5,28,Medium
3,20,Deep
1,26,Deep
3,75,Medium
6,63,Deep
8,39,Deep
21,32,Medium
1,15,Medium
7,55,Deep
5,32,Medium
1,34,Medium
1,67,Deep
0,41,Deep
4,41,Deep
0,29,Medium
14,43,Deep
2,77,Medium
2,53,Deep
2,44,Deep
0,51,Deep
1,67,Deep
19,49,Deep
2,37,Medium
11,65,Deep
3,43,Shallow
5,48,Medium
16,99,Shallow
0,34,Deep
5,87,Deep
3,75,Deep
2,57,Medium
2,61,Deep
8,73,Shallow
0,70,Deep
3,99,Deep
0,73,Deep
1,66,Deep
9,57,Medium
1,77,Deep
0,53,Deep
0,73,Deep
1,84,Deep
12,83,Medium
3,77,Deep
0,44,Deep
1,79,Deep
8,53,Shallow
1,43,Deep
1,46,Deep
7,35,Medium
6,63,Deep
0,75,Deep
8,84,Deep
0,41,Medium
1,32,Deep
0,12,Medium
4,61,Deep
17,99,Medium
9,67,Shallow
0,35,Deep
0,70,Deep
1,87,Deep
3,70,Deep
1,57,Medium
2,44,Deep
2,26,Deep
2,63,Deep
5,8,Medium
3,63,Deep
7,59,Deep
1,46,Deep
1,26,Medium
3,79,Deep
0,59,Medium
0,90,Deep
2,77,Deep
